Library_ID	Run_ID	Filename	md5sum
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_C01	m150518_133832_42161_c100803362550000001823173210081522_s1_p0.1.bax.h5	e1d40fe888ee9d33d254f537efd20ea3
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_C01	m150518_134616_42142_c100803382550000001823173210081502_s1_p0.metadata.xml	a95bb6c9fd2cc14fc502a2036710aa8b
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_C01	m150518_134616_42142_c100803382550000001823173210081502_s1_p0.bas.h5	a5849499868179aa4977361bb1d003cf
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_C01	m150518_134616_42142_c100803382550000001823173210081502_s1_p0.3.bax.h5	12995d53fc4f6d309d4efa7bb123160c
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_C01	m150518_134616_42142_c100803382550000001823173210081502_s1_p0.2.bax.h5	1352c5c6c0d6078213411bd55cc38093
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_C01	m150518_134616_42142_c100803382550000001823173210081502_s1_p0.1.bax.h5	84c361c01a478acb4e025244d1db9efe
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_F01	m150518_092159_42271_c100803292550000001823173210081525_s1_p0.metadata.xml	64d76b48ac301d5c0dd5f6562073fcaa
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_F01	m150518_092159_42271_c100803292550000001823173210081525_s1_p0.bas.h5	9920ef66bf60b247d1f9806ec8c38800
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_F01	m150518_092159_42271_c100803292550000001823173210081525_s1_p0.3.bax.h5	55e3287977602c1291ee666c1ba79aba
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_F01	m150518_092159_42271_c100803292550000001823173210081525_s1_p0.2.bax.h5	d0917793e34f96b21335828cbeaadae5
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_F01	m150518_092159_42271_c100803292550000001823173210081525_s1_p0.1.bax.h5	dc20332f4ef08cfa38153d8bb173c657
